,carrier,mean_delay_carrier
0,AA,2.575060630557801
1,AS,1.679380873410724
2,B6,2.704422253922967
3,DL,-1.5012438417638163
4,F9,3.333109469442579
5,G4,2.7756714060031595
6,HA,2.268936170212766
7,NK,0.7250905797101449
8,UA,1.7992250207583727
9,VX,2.4869565217391303
10,WN,3.3522316746299965
