,route,mean_delay_route
202,ATLLAS,1.6727272727272726
203,ATLLAX,3.586206896551724
204,ATLLEX,-4.576923076923077
205,ATLLFT,-10.083333333333334
206,ATLLGA,2.5486725663716814
207,ATLLIT,3.0833333333333335
208,ATLLNK,-1.0
209,ATLMCI,2.7916666666666665
210,ATLMCO,4.483606557377049
211,ATLMDT,-3.9
212,ATLMDW,-3.022222222222222
213,ATLMEM,-0.16
214,ATLMGM,0.08695652173913043
215,ATLMHT,-16.0
216,ATLMIA,0.8709677419354839
217,ATLMKE,0.21621621621621623
218,ATLMLB,-4.636363636363637
219,ATLMLI,8.25
220,ATLMLU,14.727272727272727
221,ATLMOB,2.4468085106382977
222,ATLMSN,-10.8
223,ATLMSP,1.78125
224,ATLMSY,0.7368421052631579
225,ATLMYR,-3.6666666666666665
226,ATLOAJ,1.1304347826086956
227,ATLOAK,3.5
228,ATLOKC,-8.5
229,ATLOMA,-2.6470588235294117
230,ATLONT,-10.0
231,ATLORD,-3.4408602150537635
232,ATLORF,3.8666666666666667
233,ATLPBI,6.869565217391305
234,ATLPDX,-4.384615384615385
235,ATLPHF,-0.8333333333333334
236,ATLPHL,-0.4
237,ATLPHX,2.893617021276596
238,ATLPIA,5.25
239,ATLPIT,-4.38
240,ATLPNS,-3.4782608695652173
241,ATLPSP,16.0
242,ATLPVD,1.4545454545454546
243,ATLPWM,6.75
244,ATLRDU,-1.0483870967741935
245,ATLRIC,2.7719298245614037
246,ATLROA,-3.9411764705882355
247,ATLROC,-5.153846153846154
248,ATLRST,-6.0
249,ATLRSW,4.717391304347826
250,ATLSAN,0.24
251,ATLSAT,-3.282608695652174
252,ATLSAV,-0.9777777777777777
253,ATLSBN,-5.647058823529412
254,ATLSDF,4.696969696969697
255,ATLSEA,0.5
256,ATLSFO,-2.0454545454545454
257,ATLSGF,-7.416666666666667
258,ATLSHV,1.7666666666666666
259,ATLSJC,-3.2
260,ATLSJU,0.38095238095238093
261,ATLSLC,1.8285714285714285
262,ATLSMF,9.8
263,ATLSNA,1.15
264,ATLSRQ,2.2222222222222223
265,ATLSTL,4.325
266,ATLSTT,-7.0
267,ATLSYR,-3.4615384615384617
268,ATLTLH,-3.8620689655172415
269,ATLTPA,0.422680412371134
270,ATLTRI,7.1923076923076925
271,ATLTTN,7.0
272,ATLTUL,4.235294117647059
273,ATLTUS,-1.8333333333333333
274,ATLTYS,2.515151515151515
275,ATLVLD,0.3333333333333333
276,ATLVPS,-2.0
277,ATLXNA,-1.0476190476190477
278,ATWATL,-9.8
279,ATWAZA,55.0
280,ATWDEN,7.0
281,ATWDTW,-6.066666666666666
282,ATWMSP,3.933333333333333
283,ATWORD,6.892857142857143
284,ATWPIE,-7.5
285,ATWSFB,11.333333333333334
286,AUSABQ,3.0
287,AUSATL,0.3333333333333333
288,AUSBNA,4.454545454545454
289,AUSBOS,7.533333333333333
290,AUSBWI,-3.8823529411764706
291,AUSCHS,3.0
292,AUSCLE,10.0
293,AUSCLT,0.4090909090909091
294,AUSCMH,12.0
295,AUSCVG,0.42857142857142855
296,AUSDAL,-1.3617021276595744
297,AUSDCA,-1.3333333333333333
298,AUSDEN,1.1904761904761905
299,AUSDFW,1.608695652173913
300,AUSDTW,2.4444444444444446
301,AUSELP,8.142857142857142
302,AUSEWR,14.478260869565217
303,AUSFLL,4.25
304,AUSHOU,-4.7727272727272725
305,AUSHRL,13.6
306,AUSIAD,-4.214285714285714
307,AUSIAH,2.3714285714285714
308,AUSIND,13.0
309,AUSJAX,3.0
310,AUSJFK,0.967741935483871
311,AUSLAS,-1.8
312,AUSLAX,0.5192307692307693
313,AUSLBB,0.3333333333333333
314,AUSLGB,-8.5
315,AUSMCI,5.0
316,AUSMCO,3.5833333333333335
317,AUSMDW,5.5
318,AUSMEM,17.0
319,AUSMIA,-10.11111111111111
320,AUSMKE,20.0
321,AUSMSP,5.5
322,AUSMSY,5.833333333333333
323,AUSOAK,1.1428571428571428
324,AUSOMA,5.0
325,AUSONT,-21.0
326,AUSORD,-2.0256410256410255
327,AUSPDX,12.6
328,AUSPHL,-10.5
329,AUSPHX,1.7
330,AUSRDU,4.75
331,AUSSAN,5.285714285714286
332,AUSSEA,15.714285714285714
