,dayofweek,mean_delay_day_of_week
0,0,1.9804717575418211
1,1,1.1155161126063868
2,2,1.4433907207470091
3,3,2.4356498005458747
4,4,3.069067621539733
5,5,-0.40566760275721214
6,6,1.2409918345943516
